name,path,correctAns
left100,/Users/admin/Documents/IT&Cognition/Cognitive Science2/experiment-exam/sounds/legit/left100.wav,left
left60,/Users/admin/Documents/IT&Cognition/Cognitive Science2/experiment-exam/sounds/legit/left60.wav,left
left30,/Users/admin/Documents/IT&Cognition/Cognitive Science2/experiment-exam/sounds/legit/left30.wav,left
right30,/Users/admin/Documents/IT&Cognition/Cognitive Science2/experiment-exam/sounds/legit/right30.wav,right
right60,/Users/admin/Documents/IT&Cognition/Cognitive Science2/experiment-exam/sounds/legit/right60.wav,right
right100,/Users/admin/Documents/IT&Cognition/Cognitive Science2/experiment-exam/sounds/legit/right100.wav,right
