path,name,noise,location,correspondingAudio,audiotrials.thisRepN,audiotrials.thisTrialN,audiotrials.thisN,audiotrials.thisIndex,visualTrials.thisRepN,visualTrials.thisTrialN,visualTrials.thisN,visualTrials.thisIndex,combinedTrials.thisRepN,combinedTrials.thisTrialN,combinedTrials.thisN,combinedTrials.thisIndex,WelcomeKey.keys,WelcomeKey.rt,key_resp_2.keys,key_resp_2.rt,AudioInstrAccept.keys,AudioInstrAccept.rt,LeftorRight.keys,LeftorRight.rt,VisualBlock.keys,VisualBlock.rt,VisualDecision.keys,VisualDecision.rt,CombinedAccept.keys,CombinedAccept.rt,CombComparisonResponse.keys,CombComparisonResponse.rt,participant,age,frameRate,sex,expName,date,
,,,,,,,,,,,,,,,,,space,6.49071311951,,,,,,,,,,,,,,,participant1,26 ,59.8440799461,female,trial,2017_May_24_1609,
,,,,,,,,,,,,,,,,,,,space,5.57238817215,,,,,,,,,,,,,participant1,26 ,59.8440799461,female,trial,2017_May_24_1609,
,,,,,,,,,,,,,,,,,,,,,space,9.39113092422,,,,,,,,,,,participant1,26 ,59.8440799461,female,trial,2017_May_24_1609,
/sounds/legit/left35.wav,left30,,,,0,0,0,2,,,,,,,,,,,,,,,left,1.70239591599,,,,,,,,,participant1,26 ,59.8440799461,female,trial,2017_May_24_1609,
/sounds/legit/right70.wav,right60,,,,0,1,1,4,,,,,,,,,,,,,,,right,0.518522977829,,,,,,,,,participant1,26 ,59.8440799461,female,trial,2017_May_24_1609,
/sounds/legit/right35.wav,right30,,,,0,2,2,3,,,,,,,,,,,,,,,left,0.786296844482,,,,,,,,,participant1,26 ,59.8440799461,female,trial,2017_May_24_1609,
/sounds/legit/left100.wav,left100,,,,0,3,3,0,,,,,,,,,,,,,,,left,0.501666069031,,,,,,,,,participant1,26 ,59.8440799461,female,trial,2017_May_24_1609,
/sounds/legit/right100.wav,right100,,,,0,4,4,5,,,,,,,,,,,,,,,right,0.0682229995728,,,,,,,,,participant1,26 ,59.8440799461,female,trial,2017_May_24_1609,
/sounds/legit/left70.wav,left60,,,,0,5,5,1,,,,,,,,,,,,,,,left,0.268223047256,,,,,,,,,participant1,26 ,59.8440799461,female,trial,2017_May_24_1609,
/sounds/legit/right35.wav,right30,,,,1,0,6,3,,,,,,,,,,,,,,,right,0.0180649757385,,,,,,,,,participant1,26 ,59.8440799461,female,trial,2017_May_24_1609,
