path,name,noise,location,correspondingAudio,audiotrials.thisRepN,audiotrials.thisTrialN,audiotrials.thisN,audiotrials.thisIndex,visualTrials.thisRepN,visualTrials.thisTrialN,visualTrials.thisN,visualTrials.thisIndex,combinedTrials.thisRepN,combinedTrials.thisTrialN,combinedTrials.thisN,combinedTrials.thisIndex,WelcomeKey.keys,WelcomeKey.rt,key_resp_2.keys,key_resp_2.rt,AudioInstrAccept.keys,AudioInstrAccept.rt,LeftorRight.keys,LeftorRight.rt,VisualBlock.keys,VisualBlock.rt,VisualDecision.keys,VisualDecision.rt,CombinedAccept.keys,CombinedAccept.rt,CombComparisonResponse.keys,CombComparisonResponse.rt,participant,age,frameRate,sex,expName,date,
,,,,,,,,,,,,,,,,,space,24.5738749504,,,,,,,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
,,,,,,,,,,,,,,,,,,,space,28.5801551342,,,,,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
,,,,,,,,,,,,,,,,,,,,,space,23.2854790688,,,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left100.wav,left100,,,,0,0,0,0,,,,,,,,,,,,,,,left,2.53994011879,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left70.wav,left60,,,,0,1,1,1,,,,,,,,,,,,,,,left,1.35448789597,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right70.wav,right60,,,,0,2,2,4,,,,,,,,,,,,,,,right,0.385744810104,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right100.wav,right100,,,,0,3,3,5,,,,,,,,,,,,,,,right,0.402135133743,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right35.wav,right30,,,,0,4,4,3,,,,,,,,,,,,,,,right,0.501286029816,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left35.wav,left30,,,,0,5,5,2,,,,,,,,,,,,,,,right,1.15412783623,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left70.wav,left60,,,,1,0,6,1,,,,,,,,,,,,,,,left,1.08694195747,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left35.wav,left30,,,,1,1,7,2,,,,,,,,,,,,,,,left,0.752984046936,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right70.wav,right60,,,,1,2,8,4,,,,,,,,,,,,,,,right,0.502623081207,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right100.wav,right100,,,,1,3,9,5,,,,,,,,,,,,,,,right,0.486075162888,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right35.wav,right30,,,,1,4,10,3,,,,,,,,,,,,,,,right,0.602630853653,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left100.wav,left100,,,,1,5,11,0,,,,,,,,,,,,,,,left,0.285070896149,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right100.wav,right100,,,,2,0,12,5,,,,,,,,,,,,,,,right,0.635817050934,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right70.wav,right60,,,,2,1,13,4,,,,,,,,,,,,,,,right,0.686172008514,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left100.wav,left100,,,,2,2,14,0,,,,,,,,,,,,,,,left,0.318450212479,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left35.wav,left30,,,,2,3,15,2,,,,,,,,,,,,,,,left,0.418776988983,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left70.wav,left60,,,,2,4,16,1,,,,,,,,,,,,,,,left,0.418854951859,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right35.wav,right30,,,,2,5,17,3,,,,,,,,,,,,,,,right,0.502504825592,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left100.wav,left100,,,,3,0,18,0,,,,,,,,,,,,,,,left,0.502490997314,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right100.wav,right100,,,,3,1,19,5,,,,,,,,,,,,,,,right,0.352277994156,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right35.wav,right30,,,,3,2,20,3,,,,,,,,,,,,,,,right,0.58593082428,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left35.wav,left30,,,,3,3,21,2,,,,,,,,,,,,,,,left,0.736041069031,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right70.wav,right60,,,,3,4,22,4,,,,,,,,,,,,,,,right,0.251873016357,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left70.wav,left60,,,,3,5,23,1,,,,,,,,,,,,,,,left,0.218436002731,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right70.wav,right60,,,,4,0,24,4,,,,,,,,,,,,,,,right,0.168373823166,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left100.wav,left100,,,,4,1,25,0,,,,,,,,,,,,,,,left,0.135185003281,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left70.wav,left60,,,,4,2,26,1,,,,,,,,,,,,,,,left,0.268644809723,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/left35.wav,left30,,,,4,3,27,2,,,,,,,,,,,,,,,left,0.201946973801,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right100.wav,right100,,,,4,4,28,5,,,,,,,,,,,,,,,right,0.11735701561,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right35.wav,right30,,,,4,5,29,3,,,,,,,,,,,,,,,left,0.318568944931,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
/sounds/legit/right70.wav,right60,,,,5,0,30,4,,,,,,,,,,,,,,,right,0.151692867279,,,,,,,,,participant4,26,59.8136129567,male,trial,2017_May_25_1750,
