59.6981 	EXP 	window1: blendMode = 'avg'
59.7156 	EXP 	window1: blendMode = 'avg'
59.7314 	EXP 	window1: blendMode = 'avg'
59.7481 	EXP 	window1: blendMode = 'avg'
59.7648 	EXP 	window1: blendMode = 'avg'
59.7815 	EXP 	window1: blendMode = 'avg'
59.7981 	EXP 	window1: blendMode = 'avg'
59.8149 	EXP 	window1: blendMode = 'avg'
59.8315 	EXP 	window1: blendMode = 'avg'
59.8484 	EXP 	window1: blendMode = 'avg'
59.8650 	EXP 	window1: blendMode = 'avg'
59.8818 	EXP 	window1: blendMode = 'avg'
59.8985 	EXP 	window1: blendMode = 'avg'
59.9149 	EXP 	window1: blendMode = 'avg'
59.9318 	EXP 	window1: blendMode = 'avg'
59.9486 	EXP 	window1: blendMode = 'avg'
59.9653 	EXP 	window1: blendMode = 'avg'
59.9820 	EXP 	window1: blendMode = 'avg'
59.9986 	EXP 	window1: blendMode = 'avg'
60.0153 	EXP 	window1: blendMode = 'avg'
60.0321 	EXP 	window1: blendMode = 'avg'
60.0488 	EXP 	window1: blendMode = 'avg'
60.0654 	EXP 	window1: blendMode = 'avg'
60.0822 	EXP 	window1: blendMode = 'avg'
60.0989 	EXP 	window1: blendMode = 'avg'
60.1155 	EXP 	window1: blendMode = 'avg'
60.1322 	EXP 	window1: blendMode = 'avg'
60.1489 	EXP 	window1: blendMode = 'avg'
60.1657 	EXP 	window1: blendMode = 'avg'
60.1824 	EXP 	window1: blendMode = 'avg'
60.1990 	EXP 	window1: blendMode = 'avg'
60.2157 	EXP 	window1: blendMode = 'avg'
60.2325 	EXP 	window1: blendMode = 'avg'
60.2492 	EXP 	window1: blendMode = 'avg'
60.2660 	EXP 	window1: blendMode = 'avg'
60.2822 	EXP 	window1: blendMode = 'avg'
60.2993 	EXP 	window1: blendMode = 'avg'
60.3159 	EXP 	window1: blendMode = 'avg'
60.3327 	EXP 	window1: blendMode = 'avg'
60.3495 	EXP 	window1: blendMode = 'avg'
60.3662 	EXP 	window1: blendMode = 'avg'
60.3828 	EXP 	window1: blendMode = 'avg'
60.3996 	EXP 	window1: blendMode = 'avg'
60.4163 	EXP 	window1: blendMode = 'avg'
60.4329 	EXP 	window1: blendMode = 'avg'
60.4497 	EXP 	window1: blendMode = 'avg'
60.4658 	EXP 	window1: blendMode = 'avg'
60.4828 	EXP 	window1: blendMode = 'avg'
60.4993 	EXP 	window1: blendMode = 'avg'
60.5160 	EXP 	window1: blendMode = 'avg'
60.5328 	EXP 	window1: blendMode = 'avg'
60.5496 	EXP 	window1: blendMode = 'avg'
60.5661 	EXP 	window1: blendMode = 'avg'
60.5829 	EXP 	window1: blendMode = 'avg'
60.6000 	EXP 	window1: blendMode = 'avg'
60.6167 	EXP 	window1: blendMode = 'avg'
60.6334 	EXP 	window1: blendMode = 'avg'
60.6497 	EXP 	window1: blendMode = 'avg'
60.6668 	EXP 	window1: blendMode = 'avg'
60.6838 	EXP 	window1: blendMode = 'avg'
60.7001 	EXP 	window1: blendMode = 'avg'
60.7167 	EXP 	window1: blendMode = 'avg'
60.7336 	EXP 	window1: blendMode = 'avg'
60.7503 	EXP 	window1: blendMode = 'avg'
60.7670 	EXP 	window1: blendMode = 'avg'
60.7836 	EXP 	window1: blendMode = 'avg'
60.8004 	EXP 	window1: blendMode = 'avg'
60.8170 	EXP 	window1: blendMode = 'avg'
60.8338 	EXP 	window1: blendMode = 'avg'
60.8503 	EXP 	window1: blendMode = 'avg'
60.8672 	EXP 	window1: blendMode = 'avg'
60.8836 	EXP 	window1: blendMode = 'avg'
60.9007 	EXP 	window1: blendMode = 'avg'
60.9172 	EXP 	window1: blendMode = 'avg'
60.9339 	EXP 	window1: blendMode = 'avg'
60.9506 	EXP 	window1: blendMode = 'avg'
60.9674 	EXP 	window1: blendMode = 'avg'
60.9841 	EXP 	window1: blendMode = 'avg'
61.0008 	EXP 	window1: blendMode = 'avg'
61.0174 	EXP 	window1: blendMode = 'avg'
61.0341 	EXP 	window1: blendMode = 'avg'
61.0508 	EXP 	window1: blendMode = 'avg'
61.0677 	EXP 	window1: blendMode = 'avg'
61.0842 	EXP 	window1: blendMode = 'avg'
61.1011 	EXP 	window1: blendMode = 'avg'
61.1176 	EXP 	window1: blendMode = 'avg'
61.1344 	EXP 	window1: blendMode = 'avg'
61.1510 	EXP 	window1: blendMode = 'avg'
61.1679 	EXP 	window1: blendMode = 'avg'
61.1844 	EXP 	window1: blendMode = 'avg'
61.2012 	EXP 	window1: blendMode = 'avg'
61.2181 	EXP 	window1: blendMode = 'avg'
61.2347 	EXP 	window1: blendMode = 'avg'
61.2513 	EXP 	window1: blendMode = 'avg'
61.2681 	EXP 	window1: blendMode = 'avg'
61.2848 	EXP 	window1: blendMode = 'avg'
61.3016 	EXP 	window1: blendMode = 'avg'
61.3181 	EXP 	window1: blendMode = 'avg'
