path,name,noise,location,correspondingAudio,audiotrials.thisRepN,audiotrials.thisTrialN,audiotrials.thisN,audiotrials.thisIndex,visualTrials.thisRepN,visualTrials.thisTrialN,visualTrials.thisN,visualTrials.thisIndex,combinedTrials.thisRepN,combinedTrials.thisTrialN,combinedTrials.thisN,combinedTrials.thisIndex,WelcomeKey.keys,WelcomeKey.rt,key_resp_2.keys,key_resp_2.rt,AudioInstrAccept.keys,AudioInstrAccept.rt,LeftorRight.keys,LeftorRight.rt,VisualBlock.keys,VisualBlock.rt,VisualDecision.keys,VisualDecision.rt,CombinedAccept.keys,CombinedAccept.rt,CombComparisonResponse.keys,CombComparisonResponse.rt,participant,age,frameRate,sex,expName,date,
,,,,,,,,,,,,,,,,,space,41.9156930447,,,,,,,,,,,,,,,participant3,24,59.7303925059,Female,trial,2017_May_25_1532,
,,,,,,,,,,,,,,,,,,,space,15.1847729683,,,,,,,,,,,,,participant3,24,59.7303925059,Female,trial,2017_May_25_1532,
,,,,,,,,,,,,,,,,,,,,,space,27.227241993,,,,,,,,,,,participant3,24,59.7303925059,Female,trial,2017_May_25_1532,
/sounds/legit/left100.wav,left100,,,,0,0,0,0,,,,,,,,,,,,,,,left,0.903396844864,,,,,,,,,participant3,24,59.7303925059,Female,trial,2017_May_25_1532,
/sounds/legit/left70.wav,left60,,,,0,1,1,1,,,,,,,,,,,,,,,left,0.886515140533,,,,,,,,,participant3,24,59.7303925059,Female,trial,2017_May_25_1532,
/sounds/legit/right35.wav,right30,,,,0,2,2,3,,,,,,,,,,,,,,,right,0.820069074631,,,,,,,,,participant3,24,59.7303925059,Female,trial,2017_May_25_1532,
/sounds/legit/left35.wav,left30,,,,0,3,3,2,,,,,,,,,,,,,,,left,1.5714468956,,,,,,,,,participant3,24,59.7303925059,Female,trial,2017_May_25_1532,
/sounds/legit/right100.wav,right100,,,,0,4,4,5,,,,,,,,,,,,,,,right,0.80216884613,,,,,,,,,participant3,24,59.7303925059,Female,trial,2017_May_25_1532,
/sounds/legit/right70.wav,right60,,,,0,5,5,4,,,,,,,,,,,,,,,right,1.12020206451,,,,,,,,,participant3,24,59.7303925059,Female,trial,2017_May_25_1532,
/sounds/legit/right100.wav,right100,,,,1,0,6,5,,,,,,,,,,,,,,,right,0.686057090759,,,,,,,,,participant3,24,59.7303925059,Female,trial,2017_May_25_1532,
