path,name,noise,location,correspondingAudio,audiotrials.thisRepN,audiotrials.thisTrialN,audiotrials.thisN,audiotrials.thisIndex,visualTrials.thisRepN,visualTrials.thisTrialN,visualTrials.thisN,visualTrials.thisIndex,combinedTrials.thisRepN,combinedTrials.thisTrialN,combinedTrials.thisN,combinedTrials.thisIndex,WelcomeKey.keys,WelcomeKey.rt,key_resp_2.keys,key_resp_2.rt,AudioInstrAccept.keys,AudioInstrAccept.rt,LeftorRight.keys,LeftorRight.rt,VisualBlock.keys,VisualBlock.rt,VisualDecision.keys,VisualDecision.rt,CombinedAccept.keys,CombinedAccept.rt,CombComparisonResponse.keys,CombComparisonResponse.rt,participant,age,frameRate,sex,expName,date,
,,,,,,,,,,,,,,,,,space,18.6651329994,,,,,,,,,,,,,,,participant2,32,59.876714871,female,trial,2017_May_24_1541,
,,,,,,,,,,,,,,,,,,,space,15.2348620892,,,,,,,,,,,,,participant2,32,59.876714871,female,trial,2017_May_24_1541,
,,,,,,,,,,,,,,,,,,,,,space,51.2789330482,,,,,,,,,,,participant2,32,59.876714871,female,trial,2017_May_24_1541,
/sounds/legit/left100.wav,left100,,,,0,0,0,0,,,,,,,,,,,,,,,left,1.50489115715,,,,,,,,,participant2,32,59.876714871,female,trial,2017_May_24_1541,
/sounds/legit/right100.wav,right100,,,,0,1,1,5,,,,,,,,,,,,,,,right,1.38734698296,,,,,,,,,participant2,32,59.876714871,female,trial,2017_May_24_1541,
/sounds/legit/right70.wav,right60,,,,0,2,2,4,,,,,,,,,,,,,,,right,1.08722805977,,,,,,,,,participant2,32,59.876714871,female,trial,2017_May_24_1541,
/sounds/legit/right35.wav,right30,,,,0,3,3,3,,,,,,,,,,,,,,,left,1.15405106544,,,,,,,,,participant2,32,59.876714871,female,trial,2017_May_24_1541,
/sounds/legit/left35.wav,left30,,,,0,4,4,2,,,,,,,,,,,,,,,left,0.920030832291,,,,,,,,,participant2,32,59.876714871,female,trial,2017_May_24_1541,
/sounds/legit/left70.wav,left60,,,,0,5,5,1,,,,,,,,,,,,,,,left,0.953426122665,,,,,,,,,participant2,32,59.876714871,female,trial,2017_May_24_1541,
/sounds/legit/right100.wav,right100,,,,1,0,6,5,,,,,,,,,,,,,,,right,0.602540016174,,,,,,,,,participant2,32,59.876714871,female,trial,2017_May_24_1541,
